strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location														
Germany/NW-RKI-I-010158/2020	EPI_ISL_1140283	Robert Koch Institute		et al																	
Germany/NW-HHU-313/2020	EPI_ISL_631316	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Norway/4055/2020	EPI_ISL_635126	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
Austria/CeMM1346/2020	EPI_ISL_853895	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Lukas Endler et al																	
Austria/CeMM1347/2020	EPI_ISL_853896	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Lukas Endler et al																	
Iceland/4474/2020	EPI_ISL_828166	deCODE genetics		Daniel F Gudbjartsson et al A		Poland															
Norway/6268/2020	EPI_ISL_775372	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
Luxembourg/LNS4969344/2020	EPI_ISL_744165	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Iceland/3589/2020	EPI_ISL_827281	deCODE genetics		Daniel F Gudbjartsson et al A		Poland															
Norway/4058/2020	EPI_ISL_635135	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
Portugal/PT2086/2020	EPI_ISL_738118	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Portugal/PT2087/2020	EPI_ISL_738119	Instituto Nacional de Saude (INSA)		Borges et al et al																	
Norway/4235/2020	EPI_ISL_635166	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al																	
Iceland/4563/2021	EPI_ISL_828255	deCODE genetics		Daniel F Gudbjartsson et al A																	
Germany/NW-HHU-340/2020	EPI_ISL_666629	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010169/2020	EPI_ISL_1140294	Robert Koch Institute		et al																	
mink/Poland/210209_3597/2021	EPI_ISL_984307	Department of Omics Analysis		Domanska-Blicharz Katarzyna et al																	
mink/Poland/210209_3596/2021	EPI_ISL_984305	Department of Omics Analysis		Domanska-Blicharz Katarzyna et al																	
Poland/Pomorskie_MWB_78/2021	EPI_ISL_1034274	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_4/2020	EPI_ISL_732948	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_5/2020	EPI_ISL_732949	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_42/2020	EPI_ISL_732950	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_46/2020	EPI_ISL_732951	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_50/2020	EPI_ISL_732954	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_49/2020	EPI_ISL_732953	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_83/2020	EPI_ISL_732958	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_77/2020	EPI_ISL_732957	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_88/2020	EPI_ISL_732959	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_67/2020	EPI_ISL_732955	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_76/2020	EPI_ISL_732956	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
mink/Poland/Pomorskie_48/2020	EPI_ISL_732952	Laboratory of Recombinant Vaccines		Lukasz Rabalski et al																	
Germany/HH-hpi-p2380/2020	EPI_ISL_776458	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al																	
Germany/HH-hpi-p2466/2020	EPI_ISL_776525	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al																	
Germany/NW-UBI-68/2020	EPI_ISL_1181193	Bielefeld University		David Brandt et al																	
Germany/BE-ChVir-W1695-8202/2020	EPI_ISL_753990	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BB-ChVir-W1549-7455/2020	EPI_ISL_753771	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BB-ChVir-W1426-8229/2020	EPI_ISL_753856	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BE-ChVir-W1688-4369/2020	EPI_ISL_753984	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BE-ChVir-W1696-8291/2020	EPI_ISL_753991	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/SH-ChVir8326/2020	EPI_ISL_729581	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/SH-ChVir8192/2020	EPI_ISL_729469	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/SH-ChVir8194/2020	EPI_ISL_729470	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/HH-hpi-p2464/2020	EPI_ISL_776523	"Heinrich Pette Institute, Leibniz Institute for Experimental Virology"		Alexis Robitaille et al																	
Germany/NW-UBI-113/2020	EPI_ISL_1181238	Bielefeld University		David Brandt et al																	
Belgium/ULG-10268/2020	EPI_ISL_515075	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/rega-0801773/2020	EPI_ISL_734850	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Deurne														
Belgium/rega-0804735/2020	EPI_ISL_734911	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Deurne														
Belgium/ULG-10267/2020	EPI_ISL_515074	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/ULG-10269/2020	EPI_ISL_515076	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/ULG-10265/2020	EPI_ISL_515072	GIGA Medical Genomics		Keith Durkin et al A																	
Germany/BE-ChVir-W1432-4374/2020	EPI_ISL_753964	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/SH-ChVir8179/2020	EPI_ISL_729563	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BB-ChVir-W1413-8296/2020	EPI_ISL_753853	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BE-ChVir-W1431-8290/2020	EPI_ISL_753963	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BW-ChVir-W1441-8265/2020	EPI_ISL_754023	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BE-ChVir-W1451-8252/2020	EPI_ISL_753972	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Germany/BE-ChVir-W1436-4360/2020	EPI_ISL_753966	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Denmark/DCGC-2044/2020	EPI_ISL_618269	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-2081/2020	EPI_ISL_618337	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Denmark/DCGC-2082/2020	EPI_ISL_618338	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Croatia/Zagreb-11/2020	EPI_ISL_710569	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Croatia/Zagreb-23/2020	EPI_ISL_710564	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Croatia/HRV000_24/2021	EPI_ISL_1091225	Croatian Institute of Public Health		Irena Tabain et al																	
Croatia/Zagreb-1/2020	EPI_ISL_710574	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Croatia/Zagreb-22/2020	EPI_ISL_710570	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Croatia/IGA-21-87107/2020	EPI_ISL_1167041	Istituto di Genomica Applicata		Jasmina Vranes et al																	
Croatia/IGA-59-4167-P/2021	EPI_ISL_1167076	Istituto di Genomica Applicata		Jasmina Vranes et al																	
Croatia/IGA-60-4159-P/2021	EPI_ISL_1167077	Istituto di Genomica Applicata		Jasmina Vranes et al																	
Belgium/rega-2011/2020	EPI_ISL_913801	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Mol														
Belgium/rega-1448/2020	EPI_ISL_888699	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Leopoldsburg														
Belgium/rega-12111370/2020	EPI_ISL_738423	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Mol														
Belgium/rega-12111357/2020	EPI_ISL_738410	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Mol														
Belgium/rega-12141402/2020	EPI_ISL_738454	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Mol														
Belgium/rega-12141433/2020	EPI_ISL_738485	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Mol														
Belgium/rega-1589/2020	EPI_ISL_890265	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Mol														
Germany/BE-ChVir-W1649-7416/2020	EPI_ISL_753981	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Denmark/DCGC-2139/2020	EPI_ISL_618402	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Switzerland/ZH-ETHZ-280174/2020	EPI_ISL_560549	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Germany/NW-HHU-307/2020	EPI_ISL_631310	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010153/2020	EPI_ISL_1140278	Robert Koch Institute		et al																	
Germany/NW-RKI-I-010329/2020	EPI_ISL_1140455	Robert Koch Institute		et al																	
Germany/NW-HHU-290/2020	EPI_ISL_770765	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-293/2020	EPI_ISL_770768	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010330/2020	EPI_ISL_1140456	Robert Koch Institute		et al																	
Germany/NW-HHU-304/2020	EPI_ISL_631307	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010152/2020	EPI_ISL_1140277	Robert Koch Institute		et al																	
Belgium/ULG-10967/2020	EPI_ISL_708453	GIGA Medical Genomics		Keith Durkin et al A																	
Luxembourg/LNS9395081/2020	EPI_ISL_744903	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Germany/NW-HHU-347/2020	EPI_ISL_666634	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010100/2020	EPI_ISL_1140225	Robert Koch Institute		et al																	
Germany/NW-RKI-I-010066/2020	EPI_ISL_1140191	Robert Koch Institute		et al																	
Germany/NW-HHU-81/2020	EPI_ISL_539597	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-106/2020	EPI_ISL_539583	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-113/2020	EPI_ISL_539590	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-104/2020	EPI_ISL_539581	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-102/2020	EPI_ISL_539579	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010084/2020	EPI_ISL_1140209	Robert Koch Institute		et al																	
Germany/NW-HHU-105/2020	EPI_ISL_539582	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-107/2020	EPI_ISL_539584	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-HHU-101/2020	EPI_ISL_539578	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Germany/NW-RKI-I-010085/2020	EPI_ISL_1140210	Robert Koch Institute		et al																	
Germany/NW-HHU-103/2020	EPI_ISL_539580	"Center of Medical Microbiology, Virology, and Hospital Hygiene, University of Duesseldorf"		Maximilian Damagnez et al			Duesseldorf														
Belgium/rega-0801770/2020	EPI_ISL_734847	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Evere														
Germany/BAV-PL-virotum_EYEE4/2020	EPI_ISL_1092300	"Protzer Lab, Laboratory for Functional Genome Analysis, Dept. Genomics, Gene Center of the LMU Munich"		Ulrike Protzer et al			Munich														
Luxembourg/LNS0726804/2020	EPI_ISL_739822	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Luxembourg/LNS2068754/2020	EPI_ISL_740053	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Luxembourg/LNS2914409/2020	EPI_ISL_740217	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Belgium/rega-1464/2020	EPI_ISL_888714	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Tervuren														
Belgium/rega-10031030/2020	EPI_ISL_735047	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Bost														
Belgium/rega-10061194/2020	EPI_ISL_735068	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Bost														
Belgium/rega-0917999/2020	EPI_ISL_734990	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Etterbeek														
Belgium/rega-09151142/2020	EPI_ISL_738223	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wilsele														
France/GE-IPP10938/2020	EPI_ISL_832132	"National Reference Center for Viruses of Respiratory Infections, Institut Pasteur, Paris"		Marion Barbet et al A			Reims														
Belgium/ULG-10604/2020	EPI_ISL_626249	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/ULG-10717/2020	EPI_ISL_641559	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/ULG-10977/2020	EPI_ISL_707751	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/rega-09231008/2020	EPI_ISL_735031	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Winksele														
Belgium/ULG-10397/2020	EPI_ISL_540564	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/rega-0908933/2020	EPI_ISL_734917	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Wilsele														
Belgium/rega-09171052/2020	EPI_ISL_734974	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Tervuren														
Belgium/rega-09171048/2020	EPI_ISL_734973	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Tervuren														
Belgium/ULG-11479/2020	EPI_ISL_925434	GIGA Medical Genomics		Keith Durkin et al A																	
Belgium/rega-0915949/2020	EPI_ISL_734939	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Oud-Heverlee														
Belgium/rega-0917989/2020	EPI_ISL_734981	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Oud-Heverlee														
Belgium/rega-0916981/2020	EPI_ISL_734971	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Oud-Heverlee														
BosniaandHerzegovina/02-BanjaLuka/2020	EPI_ISL_462990	"University of Sarajevo, Veterinary Faculty"		Teufik et al (https://dx.doi.org/10.1101/2020.06.19.160606)																	
Netherlands/Berlicum_1363564/2020	EPI_ISL_413565	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)		Italy	Berlicum														
Germany/BW-ChVir1611/2020	EPI_ISL_729475	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A																	
Ukraine/203100358/2020	EPI_ISL_512637	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
Georgia/Tb-273/2020	EPI_ISL_416479	"R. G. Lugar Center for Public Health Research, National Center for Disease Control and Public Health (NCDC) of Georgia."		Marine Murtskhvaladze et al																	
HongKong/HKSH0007/2020	EPI_ISL_451957	"Molecular Pathology Division, Department of Pathology, Hong Kong Sanatorium & Hospital"		Chun Hang AU et al (https://mra.asm.org/content/9/31/e00697-20)																	
Thailand/Nonthaburi_2520/2020	EPI_ISL_450197	"National Institute of Health. Department of medical Sciences, Ministry of Public Health, Thailand"		Pilailuk et al A																	
Austria/CeMM0802/2020	EPI_ISL_583708	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
HongKong/VM20008964-2/2020	EPI_ISL_539851	Hong Kong Department of Health		Alan K.L. Tsang et al																	
Austria/CeMM0808/2020	EPI_ISL_583710	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al A																	
Slovenia/LabVir-5837/2020	EPI_ISL_960305	"NLZOH, Laboratory for Virology"		Katarina Prosenc (Laboratory for Virology) et al																	
Bolivia/26947/2020	EPI_ISL_837567	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A																	
Bolivia/26956/2020	EPI_ISL_837574	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A																	
Latvia/015/2020	EPI_ISL_437094	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Hungary/1254-29/2020	EPI_ISL_1095610	"National Public Health Center, National Biosafety Laboratory"		Bernadett Pályi et al																	
Latvia/025/2020	EPI_ISL_486390	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/022/2020	EPI_ISL_450522	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/036/2020	EPI_ISL_486419	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/026/2020	EPI_ISL_486391	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/021/2020	EPI_ISL_450521	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/020/2020	EPI_ISL_450520	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/038/2020	EPI_ISL_486421	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/037/2020	EPI_ISL_486420	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/030/2020	EPI_ISL_486413	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/test1/2020	EPI_ISL_498226	LIC		LIC et al																	
Latvia/054/2020	EPI_ISL_486438	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Brazil/BA-27/2020	EPI_ISL_978512	"Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil"		Stephane Tosta et al																	
Brazil/BA-27.1/2020	EPI_ISL_1068341	"Central Public Health Laboratory - LACEN -Bahia, Salvador, Brazil"		Stephane Tosta et al																	
Belize/CDC-6840/2020	EPI_ISL_509711	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Jing Zhang et al B																	
Belize/CDC-6846/2020	EPI_ISL_509712	"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention"		Jing Zhang et al B																	
Slovenia/V0-6068/2020	EPI_ISL_635294	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Tomaž Mark Zorec et al																	
Lebanon/LB-LR9/2020	EPI_ISL_498552	Lebanese American University		Abi Habib et al																	
NorthMacedonia/10299/2020	EPI_ISL_678251	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al																	
Switzerland/VD-ETHZ-260019/2020	EPI_ISL_539354	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Croatia/Zagreb-29/2020	EPI_ISL_710554	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Croatia/Zagreb-17/2020	EPI_ISL_710561	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Croatia/Zagreb-3/2020	EPI_ISL_710553	Ruđer Boškovic Institute; Forensic Science Centre Ivan Vučetić; University of Zagreb Faculty of Science		Robert Belužić et al																	
Austria/MUW_1313844/2020	EPI_ISL_913089	Center for Virology		Jeremy V. Camp et al																	
Slovenia/74970/2020	EPI_ISL_1098797	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Alen Suljič et al																	
Croatia/HRV000_181/2021	EPI_ISL_1109525	Croatian Institute of Public Health		Irena Tabain et al																	
Croatia/IGA-36-86949/2020	EPI_ISL_1167056	Istituto di Genomica Applicata		Jasmina Vranes et al																	
Serbia/M15306/2020	EPI_ISL_1057098	Virology Department Institute of Microbiology and Immunology Faculty of Medicine University of Belgrade		Banko Ana et al																	
Austria/CeMM1329/2020	EPI_ISL_853887	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Lukas Endler et al																	
Luxembourg/LNS3417408/2020	EPI_ISL_740307	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al																	
Finland/S24C2/2020	EPI_ISL_737036	"Department of Virology, Faculty of Medicine, University of Helsinki, Helsinki, Finland"		Teemu Smura et al A																	
Poland/Masovia-14790/2020	EPI_ISL_754910	"genXone SA, Research & Development Laboratory; The Faculty of Mathematics, Informatics and Mechanics of the University of Warsaw"		Maciej Sykulski et al																	
Latvia/092/2020	EPI_ISL_512647	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/043/2020	EPI_ISL_492988	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Latvia/088/2020	EPI_ISL_512313	Latvian Biomedical Research and Study Centre		Ivars Silamiķelis et al																	
Ukraine/203100334/2020	EPI_ISL_512613	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al																	
Denmark/DCGC-3032/2020	EPI_ISL_616810	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Germany/SN-DcGC-L62673/2020	EPI_ISL_887112	"DRESDEN-concept Genome Center, CMCB, TU Dresden"		Beil J. et al			Dresden														
Denmark/DCGC-29214/2021	EPI_ISL_843261	"Albertsen Lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortium et al																	
Denmark/DCGC-33779/2021	EPI_ISL_870789	Aalborg University		Danish Covid-19 Genome Consortium et al																	
Japan/IC-0543/2020	EPI_ISL_779226	"Pathogen Genomics Center, National Institute of Infectious Diseases"		Tsuyoshi Sekizuka et al B		Europe															
Italy/CAM-TIGEM-305/2020	EPI_ISL_776968	TIGEM		Antonio Grimaldi et al																	
CzechRepublic/IAB20_016_029/2020	EPI_ISL_889372	Institute of Applied Biotechnologies a.s.		Petr Klempt et al																	
Russia/LEN-RII-MH5740S/2020	EPI_ISL_733316	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Gatchina														
Italy/CAM-TIGEM-344/2020	EPI_ISL_776969	TIGEM		Antonio Grimaldi et al																	
Italy/CAM-TIGEM-331/2020	EPI_ISL_1086104	TIGEM		Antonio Grimaldi et al																	
CzechRepublic/NRL-9964/2020	EPI_ISL_660597	State Veterinary Institute Prague		Nagy et al			Brno														
Italy/CAM-TIGEM-311/2020	EPI_ISL_776970	TIGEM		Antonio Grimaldi et al																	
Iceland/5903/2020	EPI_ISL_829583	deCODE genetics		Daniel F Gudbjartsson et al A																	
Denmark/DCGC-4120/2020	EPI_ISL_622076	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al																	
Spain/MD-IBV-99012471/2020	EPI_ISL_780051	SeqCOVID-SPAIN consortium/IBV(CSIC)		Darío García de Viedma et al			Madrid														
Spain/MD-IBV-99013368/2020	EPI_ISL_831029	SeqCOVID-SPAIN consortium/IBV(CSIC)		María Rodríguez-Tejedor et al			Madrid														
Sweden/20-52831/2020	EPI_ISL_654956	The Public Health Agency of Sweden		Anna-Malin Linde et al																	
Sweden/20-23680/2020	EPI_ISL_654508	The Public Health Agency of Sweden		Anna-Malin Linde et al																	
Sweden/20-53532/2020	EPI_ISL_676505	The Public Health Agency of Sweden		Department of Microbiology et al																	
Sweden/20-08987/2020	EPI_ISL_594150	The Public Health Agency of Sweden		Anna-Malin Linde et al																	
England/MILK-11767C0/2021	EPI_ISL_947373	Wellcome Sanger Institute for the COVID-19 Genomics UK (COG-UK) Consortium		The Lighthouse Lab in Milton Keynes et al																	
Switzerland/BL-ETHZ-300237/2020	EPI_ISL_603270	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Switzerland/BL-ETHZ-310387/2020	EPI_ISL_603461	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Switzerland/BL-ETHZ-310388/2020	EPI_ISL_603462	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Switzerland/BL-ETHZ-310382/2020	EPI_ISL_603456	"Department of Biosystems Science and Engineering, ETH Zürich"		Christian Beisel et al																	
Netherlands/ZH-EMC-416/2020	EPI_ISL_523756	Erasmus Medical Center		Bas Oude Munnink et al																	
