strain	gisaid_epi_isl	submitting_lab	url	author	accession	country_exposure	location											
Peru/ANC-UPCH-0299/2020	EPI_ISL_812460	"Laboratorio de Genómica Microbiana, Universidad Peruana Cayetano Heredia"		Pablo Tsukayama et al														
Luxembourg/LNS2285274/2020	EPI_ISL_740092	"Laboratoire national de santé, Microbiology, Microbial Genomics Platform"		Anke Wienecke-Baldacchino et al														
Portugal/PT1587/2020	EPI_ISL_693592	Instituto Nacional de Saude (INSA)		Borges et al et al														
Portugal/PT1596/2020	EPI_ISL_693525	Instituto Nacional de Saude (INSA)		Borges et al et al														
Portugal/PT1603/2020	EPI_ISL_693606	Instituto Nacional de Saude (INSA)		Borges et al et al														
Portugal/PT1598/2020	EPI_ISL_693602	Instituto Nacional de Saude (INSA)		Borges et al et al														
Portugal/PT1625/2020	EPI_ISL_693626	Instituto Nacional de Saude (INSA)		Borges et al et al														
Portugal/PT1607/2020	EPI_ISL_693610	Instituto Nacional de Saude (INSA)		Borges et al et al														
Portugal/PT1602/2020	EPI_ISL_693605	Instituto Nacional de Saude (INSA)		Borges et al et al														
Turkey/GUMV_36208/2020	EPI_ISL_730567	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
UnitedArabEmirates/1871/2020	EPI_ISL_859629	"BTC, Khalifa University"		Al Safar et al et al														
Italy/LAZ-INMI-27/2020	EPI_ISL_590695	INMI Lazzaro Spallanzani IRCCS		Cesare E.M. Gruber et al B														
Bangladesh/BCSIR-NILMRC_420/2020	EPI_ISL_603242	"Genomic Research Lab, BCSIR"		Barna Goswami et al														
Zimbabwe/ZW-16429/2020	EPI_ISL_1191798	Quadram Institute Bioscience		Tapfumanei Mashe et al														
Zimbabwe/ZW-34139/2020	EPI_ISL_1191831	Quadram Institute Bioscience		Tapfumanei Mashe et al														
Aruba/AW-RIVM-10391/2020	EPI_ISL_636517	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Nigeria/OS-CV304/2020	EPI_ISL_729982	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al														
Mexico/TAM-UANL-019/2020	EPI_ISL_1091260	"Laboratorio de Infectología Molecular, Departamento de Bioquímica y Medicina Molecular,Facultad de Medicina - Universidad Autónoma de Nuevo León"		Kame A. Galán-Huerta et al														
Russia/AST-RII-MH4130S/2020	EPI_ISL_733167	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Astrakhan											
Mozambique/INS-K007899/2020	EPI_ISL_887473	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al														
SouthAfrica/Tygerberg_348_CC2/2020	EPI_ISL_660151	"National Health Laboratory Service (NHLS), Tygerberg"		Susan Engelbrecht et al														
Mozambique/INS-K008799/2021	EPI_ISL_1132838	"KRISP, KZN Research Innovation and Sequencing Platform"		Nalia Ismael et al														
CzechRepublic/IAB20_016_045/2020	EPI_ISL_889367	Institute of Applied Biotechnologies a.s.		Petr Klempt et al														
Nepal/459A/2020	EPI_ISL_754072	Nepal Health Research Council		Pradip Gyanwali et al														
Mexico/CMX-INMEGEN-02-06-20/2021	EPI_ISL_1085421	Instituto Nacional de Medicina Genomica		Hidalgo-Miranda A et al														
Belarus/ChVir21832/2020	EPI_ISL_860802	"Charité Universitätsmedizin Berlin, Institut für Virologie"		Victor M Corman et al A														
Poland/Mazowieckie_MWB_225/2021	EPI_ISL_1084655	"30. Laboratory of Recombinant Vaccines, Intercollegiate Faculty of Biotechnology University of Gdansk and Medical University of Gdansk, 2. ViroGenetics - BSL3 Laboratory of Virology, Małopolska Centre of Biotechnology, Jagiellonian University"		Lukasz Rabalski et al														
Israel/CVL-979ngs/2020	EPI_ISL_889292	Israel National Consortium for SARS-CoV-2 sequencing		Neta Zuckerman et al														
SouthAfrica/NHLS-UCT-GS-3587/2020	EPI_ISL_960144	National Health Laboratory Service/UCT		Arash Iranzadeh et al														
Lithuania/MR-LUHS-Eilnr192/2020	EPI_ISL_636842	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al														
NorthMacedonia/9304/2020	EPI_ISL_677724	"Research Center for Genetic Engineering and Biotechnology ""Georgi D. Efremov” , Macedonian Academy of Sciences and Arts"		RCGEB - MASA et al			Shtip											
SouthAfrica/KRISP-0149/2020	EPI_ISL_467499	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
SouthAfrica/KRISP-K002853/2020	EPI_ISL_602669	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
SouthAfrica/KRISP-0205/2020	EPI_ISL_482718	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
SouthAfrica/KRISP-0202/2020	EPI_ISL_482717	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
Ghana/UHAS-H009/2020	EPI_ISL_628761	UHAS COVID-19 Lab		Kwabena O. Duedu et al														
Ireland/D-NVRL-77IRL69369/2020	EPI_ISL_752515	National Virus Reference Laboratory		Michael Carr et al														
Iceland/5748/2020	EPI_ISL_829430	deCODE genetics		Daniel F Gudbjartsson et al A		United Kingdom												
Poland/1727616021_diag1_gx1/2020	EPI_ISL_876028	"genXone SA, Research & Development Laboratory"		Maciej Sykulski et al														
Zambia/ZMB-33670/2020	EPI_ISL_977410	UNZAVET and PATH		Mulenga Mwenda-Chimfwembe et al														
Nigeria/OS-CV307/2020	EPI_ISL_729985	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al														
Turkey/Ankara_GUMV_41954/2020	EPI_ISL_730620	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Turkey/40_Ankara_GUMV_50850/2020	EPI_ISL_984992	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Turkey/25_Ankara_GUMV_50542/2020	EPI_ISL_984986	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Turkey/38-Ankara-GUMV-50786/2020	EPI_ISL_984740	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Turkey/27_Ankara_GUMV_50551/2020	EPI_ISL_984988	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Peru/ICA-INS-267/2020	EPI_ISL_1093158	Laboratorio de Referencia Nacional de Biotecnología y Biología Molecular. Instituto Nacional de Salud Perú		Carlos Padilla Rojas et al														
Germany/BW-Cento-30739418/2020	EPI_ISL_815265	Centogene		Peter Bauer et al			Buehl											
Germany/BW-Cento-32861093/2020	EPI_ISL_815266	Centogene		Peter Bauer et al			Buehl											
Azerbaijan/Aghayev-08/2021	EPI_ISL_882644	Azerbaijan National Hematology Center Division of Medical Genetics		Aghayev Agha Rza et al														
Brazil/PB-FIOCRUZ-29634/2020	EPI_ISL_792624	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A														
Brazil/PB-FIOCRUZ-29649/2020	EPI_ISL_792636	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A														
Brazil/PB-FIOCRUZ-29644/2020	EPI_ISL_792632	"Laboratory of Respiratory Viruses and Measles, Oswaldo Cruz Institute, FIOCRUZ"		Paola Resende et al A														
Denmark/DCGC-1254/2020	EPI_ISL_618019	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Russia/OMS-ORINFI-5900S/2020	EPI_ISL_569772	WHO National Influenza Centre Russian Federation		Artem Fadeev et al			Omsk											
Russia/OMS-ORINFI-8941S/2020	EPI_ISL_569801	WHO National Influenza Centre Russian Federation		Artem Fadeev et al			Moskalenki											
CzechRepublic/IAB20_016_013/2020	EPI_ISL_889342	Institute of Applied Biotechnologies a.s.		Petr Klempt et al			Brno											
CzechRepublic/NRL-7915/2020	EPI_ISL_541337	State Veterinary Institute Prague		Nagy et al			Hodonín											
CzechRepublic/NRL-7913/2020	EPI_ISL_541336	State Veterinary Institute Prague		Nagy et al			Ratíškovice											
Belgium/rega-0607716/2020	EPI_ISL_738219	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Tienen											
Zimbabwe/ZW-16535/2020	EPI_ISL_1191804	Quadram Institute Bioscience		Tapfumanei Mashe et al														
Iceland/4237/2021	EPI_ISL_827930	deCODE genetics		Daniel F Gudbjartsson et al A														
Ukraine/ChVir23535_68/2021	EPI_ISL_1112327	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
Ukraine/ChVir23535_63/2021	EPI_ISL_1112322	"Charité Universitätsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
Netherlands/NH-EMC-41/2020	EPI_ISL_523410	Erasmus Medical Center		Bas Oude Munnink et al														
Sweden/21-00340/2020	EPI_ISL_934334	The Public Health Agency of Sweden		Anna-Malin Linde et al														
SouthKorea/KCDC2687/2020	EPI_ISL_522467	"Center for Laboratory Control of Infectious Diseases, Korea Centers for Diseases Control and Prevention"		Junyoung Kim et al														
Mozambique/KRISP-MZ157470/2020	EPI_ISL_636978	"KRISP, KZN Research Innovation and Sequencing Platform"		Ismael N et al														
SouthAfrica/KRISP-EC-K005296/2020	EPI_ISL_678558	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
SouthAfrica/KRISP-K003743/2020	EPI_ISL_605789	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
Sweden/20-21506/2020	EPI_ISL_582780	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Germany/SH-RKI-I-0067/2020	EPI_ISL_831405	"Robert Koch Institute, Influenza and respiratory viruses FG17 & Bioinformatics MF1, Berlin, Germany"		Dr. Lorentz et al														
Sweden/20-08950/2020	EPI_ISL_534232	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Sweden/20-52647/2020	EPI_ISL_534259	The Public Health Agency of Sweden		Anna-Malin Linde et al														
Sweden/20-53054/2020	EPI_ISL_661287	The Public Health Agency of Sweden		Department of Microbiology et al														
Belgium/rega-0615916/2020	EPI_ISL_734756	"KU Leuven, Rega Institute, Clinical and Epidemiological Virology"		Tony Wawina-Bokalanga et al			Tervuren											
Turkey/IST-GLAB-313/2020	EPI_ISL_735347	"Genomic Laboratory (GLAB), Istanbul Technical University"		Ilker Karacan et al A														
Russia/SVE-RII-MH2831S/2020	EPI_ISL_639973	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Yekaterinburg											
Zimbabwe/ZW-16428/2020	EPI_ISL_1191797	Quadram Institute Bioscience		Tapfumanei Mashe et al														
Mexico/HID-InDRE_304/2020	EPI_ISL_1060736	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		Claudia Wong-Arambula et al														
HongKong/HKPU-01253/2020	EPI_ISL_1018124	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Gilman Kit-Hang Siu et al														
Lithuania/MR-LUHS-Eilnr172/2020	EPI_ISL_636604	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al														
Lithuania/MR-LUHS-Eilnr173/2020	EPI_ISL_636839	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al														
Lithuania/MR-LUHS-Eilnr189/2020	EPI_ISL_636841	"Lithuanian University of Health Sciences, Molecular cardiology lab."		Lukas Zemaitis et al														
HongKong/HKU-200723-071/2020	EPI_ISL_497838	"Department of Microbiology, The University of Hong Kong"		Kelvin K.W. To et al														
Russia/MOS-CRIE7165818/2020	EPI_ISL_653930	Group of Genomics and Postgenomic Technologies of Central Research Institute of Epidemilology		Samoilov AE et al														
Russia/MOW-RII-MH9283S/2020	EPI_ISL_733432	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Moscow											
Ecuador/EC-G-124255/2020	EPI_ISL_826829	Instituto de Salud Publica de Chile		Javier Tognarelli et al														
Italy/VEN-SI_99/2020	EPI_ISL_1181772	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
HongKong/HKPU-02390/2020	EPI_ISL_1018235	"Department of Health Technology and Informatics, The Hong Kong Polytechnic University"		Gilman Kit-Hang Siu et al														
SouthAfrica/KRISP-K003501/2020	EPI_ISL_602825	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
Russia/SVE-RII-MH2824S/2020	EPI_ISL_639969	WHO National Influenza Centre Russian Federation		Andrey Komissarov et al A			Asbest											
SouthAfrica/KRISP-K002825/2020	EPI_ISL_602645	"KRISP, KZN Research Innovation and Sequencing Platform"		Giandhari J et al														
Turkey/26_Ankara_GUMV_50546/2020	EPI_ISL_984987	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Mexico/QUE-InDRE_294/2020	EPI_ISL_1060729	Instituto de Diagnostico y Referencia Epidemiologicos (INDRE)		Claudia Wong-Arambula et al														
SouthAfrica/Tygerberg_358_CC2/2020	EPI_ISL_660153	"National Health Laboratory Service (NHLS), Tygerberg"		Susan Engelbrecht et al														
Belarus/MI-RII-MH11353S/2020	EPI_ISL_754231	WHO National Influenza Centre Russian Federation		Elena Gasich et al			Smalyavichy											
Romania/Cento-33532454/2020	EPI_ISL_815390	Centogene		Peter Bauer et al														
Netherlands/Houten_1363498/2020	EPI_ISL_413575	Erasmus Medical Center		David Nieuwenhuijse et al A (https://dx.doi.org/10.1038/s41591-020-0997-y)			Houten											
Switzerland/TI-SNRCI-29919486/2020	EPI_ISL_413996	Swiss National Reference Centre for Influenza		LAUBSCHER Florian et al. et al														
Germany/BW-FR0059/2020	EPI_ISL_852760	"Institute of Virology, Clinial Virus Genomics, Medical Center, University of Freiburg, Freiburg, Germany"		Jonas Fuchs et al			Freiburg											
Cyprus/007/2020	EPI_ISL_463747	"Department of Molecular Virology, Cyprus Institute of Neurology and Genetics"		Jan Richter et al														
Luxembourg/LNS6854244/2020	EPI_ISL_428956	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS8881447/2020	EPI_ISL_744819	"Laboratoire national de santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS4836560/2020	EPI_ISL_419588	"Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al			Luxembourg											
Luxembourg/LNS3156434/2020	EPI_ISL_419582	"Laboratoire National de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al			Luxembourg											
Luxembourg/LNS2458673/2020	EPI_ISL_421760	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS2128808/2020	EPI_ISL_417530	"Laboratoire Nationale de Santé, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS7721101/2020	EPI_ISL_429769	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS4818581/2020	EPI_ISL_429786	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS9470500/2020	EPI_ISL_434505	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Luxembourg/LNS0113568/2020	EPI_ISL_428942	"Laboratoire National de Sante, Microbiology, Epidemiology and Microbial Genomics"		Anke Wienecke-Baldacchino et al														
Italy/VEN-SI_20/2020	EPI_ISL_1181758	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_66/2020	EPI_ISL_1181811	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_44/2020	EPI_ISL_1181798	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_43/2020	EPI_ISL_1181757	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Switzerland/AG-SNRCI-29940361/2020	EPI_ISL_413999	Swiss National Reference Centre for Influenza		LAUBSCHER Florian et al. et al														
Italy/VEN-SI_59/2020	EPI_ISL_1181774	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Norway/1495/2020	EPI_ISL_420134	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al		Italy												
Croatia/52103_ID1647_20/2020	EPI_ISL_994659	Institute of Applied Genomics		Jasmina Vranes et al														
Croatia/52123_ID1647_40/2020	EPI_ISL_994739	Institute of Applied Genomics		Jasmina Vranes et al														
Croatia/52093_ID1647_10/2020	EPI_ISL_989241																	
Bulgaria/40/2020	EPI_ISL_480309	NRL-HIV		Ivan Ivanov et al														
Norway/1955/2020	EPI_ISL_420146	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al		Austria												
Peru/LIM-INS-098/2020	EPI_ISL_536497	Laboratorio de Infecciones Respiratorias Agudas		Eduardo Juscamayta Lopez et al														
Peru/LIM-INS-414/2020	EPI_ISL_1111312	Laboratorio de Referencia Nacional de Enteropatógenos. Instituto Nacional de Salud del Perú		Ronnie Gavilan Chavez et al														
Austria/CeMM1228/2020	EPI_ISL_853819	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Lukas Endler et al			Weiz											
Sweden/20-08842/2020	EPI_ISL_475156	The Public Health Agency of Sweden		Oskar Karlsson Lindsjo et al														
Ecuador/USFQ-139/2020	EPI_ISL_491936	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-150/2020	EPI_ISL_491938	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Denmark/DCGC-1595/2020	EPI_ISL_618639	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/DCGC-1582/2020	EPI_ISL_618626	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/DCGC-818/2020	EPI_ISL_614735	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Denmark/DCGC-1585/2020	EPI_ISL_618629	"Albertsen lab, Department of Chemistry and Bioscience, Aalborg University, Denmark"		Danish Covid-19 Genome Consortia et al														
Netherlands/ZH-EMC-656/2020	EPI_ISL_632413	Erasmus Medical Center		Bas Oude Munnink et al														
Austria/CeMM0639/2020	EPI_ISL_475936	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://dx.doi.org/10.1101/2020.07.15.204339v1)														
Italy/VEN-SI_26/2020	EPI_ISL_1181755	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_84/2020	EPI_ISL_1181792	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_49/2020	EPI_ISL_1181748	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_76/2020	EPI_ISL_1181733	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Italy/VEN-SI_72/2020	EPI_ISL_1181739	"Department of Molecular Medicine,Computational Medicine Group,Univeresity of Padova,Padova,Italy"		Elisa Franchin et al														
Ecuador/USFQ-113/2020	EPI_ISL_486848	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-402/2020	EPI_ISL_660532	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Ecuador/USFQ-487/2020	EPI_ISL_660534	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Ecuador/USFQ-515/2020	EPI_ISL_660538	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Ecuador/USFQ-509/2020	EPI_ISL_660536	"Institute of Microbiology, Universidad San Francisco de Quito"		Sully Márquez et al														
Ecuador/USFQ-563/2020	EPI_ISL_824286	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-533/2020	EPI_ISL_697799	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-531/2020	EPI_ISL_697798	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
Ecuador/USFQ-539/2020	EPI_ISL_697800	"Institute of Microbiology, Universidad San Francisco de Quito"		Belén Prado-Vivar et al														
France/IDF_HB_112002103234/2020	EPI_ISL_940534	"IAME UMR1137 Inserm, Université de Paris, Hôpital Bichat"		Antoine Bridier-Nahmias et al														
Norway/Trondheim-E10/2020	EPI_ISL_450352	"Institute of Genomics Core Facility, University of Tartu"		Aleksandr Ianevski et al			Trondheim											
Aruba/AW-RIVM-10326/2020	EPI_ISL_636513	National Institute for Public Health and the Environment (RIVM)		Adam Meijer et al														
Slovakia/SK-BMC1/2020	EPI_ISL_417877	"Institute of Virology, Biomedical Research Center of the Slovak Academy of Sciences, Bratislava; Comenius University Science Park, Bratislava"		Monika Slávikova et al		Italy												
BosniaandHerzegovina/ChVir7357/2020	EPI_ISL_462462	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
Norway/1953/2020	EPI_ISL_420313	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Bulgaria/41/2020	EPI_ISL_480310	NRL-HIV		Ivan Ivanov et al														
Norway/2356-2/2020	EPI_ISL_449786	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Hungary/533_25/2020	EPI_ISL_1039994	"National Public Health Center, National Biosafety Laboratory"		Bernadett Pályi et al			Budapest											
Norway/2200/2020	EPI_ISL_447837	"Norwegian Institute of Public Health, Department of Virology"		Kathrine Stene-Johansen et al														
Austria/CeMM0553/2020	EPI_ISL_475904	"Bergthaler laboratory, CeMM Research Center for Molecular Medicine of the Austrian Academy of Sciences"		Alexandra Popa et al B (https://dx.doi.org/10.1101/2020.07.15.204339v1)														
Ukraine/203100321/2020	EPI_ISL_512601	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100365/2020	EPI_ISL_512643	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100345/2020	EPI_ISL_512624	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100344/2020	EPI_ISL_512623	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100342/2020	EPI_ISL_512621	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100328/2020	EPI_ISL_512607	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100331/2020	EPI_ISL_512610	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100343/2020	EPI_ISL_512622	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100327/2020	EPI_ISL_512606	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100330/2020	EPI_ISL_512609	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100329/2020	EPI_ISL_512608	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Ukraine/203100332/2020	EPI_ISL_512611	"Respiratory Virus Unit, Microbiology Services Colindale, Public Health England"		PHE Covid Sequencing Team et al														
Bulgaria/17/2020	EPI_ISL_480300	NRL-HIV		Ivan Ivanov et al														
Nigeria/ED20-CV162/2020	EPI_ISL_527881	"African Centre of Excellence for Genomics of Infectious Diseases (ACEGID), Redeemer's University, Ede, Osun State, Nigeria"		Oluniyi P.E. et al et al														
Greece/127_HPI/2020	EPI_ISL_430469	"Hellenic Pasteur Institute, Public Health Laboratories, Unit of Bioinformatics and Applied Genomics"		Vasiliki Pogka et al														
France/ARA-SC005/2020	EPI_ISL_629085	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Saint-Julien-en-Genevois											
Brazil/SP-05/2020	EPI_ISL_414016	"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory"		Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030)														
France/ARA-SC003/2020	EPI_ISL_629083	CNR Virus des Infections Respiratoires - France SUD		Antonin Bal et al			Saint-Julien-en-Genevois											
CzechRepublic/ChVir1630/2020	EPI_ISL_416742	"Charite Universitaetsmedizin Berlin, Institute of Virology"		Victor M Corman et al A														
Brazil/SP-06/2020	EPI_ISL_414015	"Instituto Adolfo Lutz, Interdiciplinary Procedures Center, Strategic Laboratory"		Claudio Tavares Sacchi et al B (https://dx.doi.org/10.1590/s1678-9946202062030)														
Italy/LOM-UniMI-L66/2020	EPI_ISL_542412	Dep. Of Oncology and Hemato-Oncology University of Milan		Claudia Alteri et al														
Italy/LOM-UniMI-L302/2020	EPI_ISL_542261	Dep. Of Oncology and Hemato-Oncology University of Milan		Claudia Alteri et al														
Poland/PL_P3/2020	EPI_ISL_428926	ViroGenetics - BSL3 Laboratory of Virology; Human Genome Variation Research Group & Genomics Centre MCB; Bioinformatics Research Group		Wojciech Branicki et al														
Poland/PL_MCB_15/2020	EPI_ISL_645014	"Human Genome Variation Research Group, Malopolska Centre of Biotechnology"		Kowalski et al														
Turkey/Ankara_33508/2020	EPI_ISL_730575	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Romania/Iasi-296512/2020	EPI_ISL_471421	Cantacuzino Institute		Luiza Ustea et al			Iasi											
Austria/Graz-MUG5/2020	EPI_ISL_437201	"Diagnostic- and Research Institute of Pathology, Medical University of Graz"		Karl Kashofer et al B (https://www.biorxiv.org/content/10.1101/2020.07.15.204339v1)														
India/WB-IICB-033/2020	EPI_ISL_661306	"CSIR-Indian Institute of Chemical Biology, MEDICA Supercpecialty Hospital Kolkata"		Sujay Krishna Maity et al														
Switzerland/AG-42216512/2020	EPI_ISL_581816	"University Hospital Basel, Clinical Bacteriology"		Madlen Stange et al														
Turkey/36_Ankara_GUMV_50722/2020	EPI_ISL_984990	"Gazi University Faculty of Medicine, Medical Virology Laboratory"		Erdem Şahin et al														
Moldova/ChVir7768/2020	EPI_ISL_523960	"Charite Universitatsmedizin Berlin, Institute of Virology"		Victor M Corman et al A		Italy												
SaintBarthelemy/IPG-7329/2020	EPI_ISL_613429	Institut Pasteur de la Guadeloupe		Marion Barbet et al B														
Egypt/CPHL-NRC-6/2020	EPI_ISL_794606	"Central Public Health Laboratories, Egyptian Ministry of Health and Population"		El-Shesheny et al														
Slovenia/V0-4778/2020	EPI_ISL_636461	"Institute of Microbiology and Immunology, Faculty of Medicine, University of Ljubljana"		Tomaž Mark Zorec et al														
